phylum	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
p_Proteobacteria	219037.9032	51205.8545	669694.3426	765487.6609	222551.8333	766091.1229	501789.0998	29433.1909	686971.7491	30494.5779	646354.5897	715439.1948	245324.4278	585292.7051	483378.4184	d_Bacteria;p_Proteobacteria
p_Actinobacteriota	687122.3314	760654.2714	124293.8832	66306.269	267999.9323	68790.1623	277448.169	62193.7374	237146.365	607788.6101	9735.5056	67427.3446	155604.0496	98815.6614	456541.4787	d_Bacteria;p_Actinobacteriota
p_Firmicutes A	36497.2082	13668.0611	32558.8855	23864.2913	10713.8661	25681.9232	40579.9743	608037.1183	9119.9723	4481.5298	314136.84	9828.7112	350733.0944	29150.2927	39347.1541	d_Bacteria;p_Firmicutes A
p_Firmicutes	14024.9175	66351.2005	39987.6158	14271.9385	37815.1069	12790.4676	57720.0964	118903.3254	14929.0746	327414.2345	16238.1794	153845.3064	202391.2965	24982.3968	16021.1711	d_Bacteria;p_Firmicutes
p_Campylobacterota	9150.389	956.3013	7474.2839	1848.5449	392164.5378	1694.0591	12186.5853	4447.1146	593.7312	193.1636	554.0275	12785.4571	210.0373	139081.8579	2071.2339	d_Bacteria;p_Campylobacterota
p_Bacteroidota	19757.2171	85394.5664	63567.2357	62070.5158	41258.5072	58100.6674	60410.3225	3484.0363	22153.7957	18907.9537	1966.5444	36098.927	2672.2395	51857.0126	821.0537	d_Bacteria;p_Bacteroidota
p_Fusobacteriota	206.9648	155.7837	1897.7948	260.853	2974.0454	84.7113	994.4072	170812.988	60.4742	3353.4942	9971.2687	2337.8993	41889.738	10431.9327	211.6077	d_Bacteria;p_Fusobacteriota
p_Firmicutes C	383.6749	17.6253	9373.1831	13250.797	3590.2309	12013.1269	6599.6954	88.7836	5080.5315	3.357	64.1807	795.6483	134.3267	9559.4957	31.3486	d_Bacteria;p_Firmicutes C
p_Myxococcota	825.794	3064.2693	7686.1518	7398.9282	3036.1678	7995.7139	6774.4064	64.6103	2276.5865	1367.9341	25.0837	106.7537	72.0162	7296.4002	28.4205	d_Bacteria;p_Myxococcota
p_Verrucomicrobiota	501.332	2566.4732	6256.145	6970.5924	2240.2188	7283.5367	4768.5907	291.8695	2825.5057	642.1266	31.7605	272.6595	124.4497	5686.299	46.2931	d_Bacteria;p_Verrucomicrobiota
p_Cyanobacteria	791.147	1618.9345	5467.5373	6588.1393	1693.2189	7096.4738	5413.3901	104.1405	2562.5575	325.5683	11.1338	211.9938	59.1065	5453.6516	47.5485	d_Bacteria;p_Cyanobacteria
p_Chloroflexota	969.7373	1836.2438	4944.0564	5376.9939	2062.0749	5508.8747	3986.8894	96.8607	1568.6922	366.4337	22.0971	158.2106	100.5007	4393.8195	185.8486	d_Bacteria;p_Chloroflexota
p_Aquificota	75.9896	85.6485	3274.0113	3727.8469	779.7938	3698.3562	2995.9616	136.5744	913.0075	7.514	3.4512	0.6751	1.7038	3069.7608	1.735	d_Bacteria;p_Aquificota
p_Bdellovibrionota	227.3023	1056.8177	3331.2917	3141.6943	1377.0558	2553.3813	2066.8228	13.479	812.7708	182.6803	10.9367	86.6122	49.1738	3360.2335	5.8616	d_Bacteria;p_Bdellovibrionota
p_Acidobacteriota	885.8278	3828.949	1508.7123	1890.8933	1470.1969	1900.2823	2750.841	171.1662	840.4297	976.1786	18.0632	45.3474	36.6821	1763.3263	103.4744	d_Bacteria;p_Acidobacteriota
p_Patescibacteria	2889.0416	1206.9434	1651.6937	2143.3382	827.372	1922.8163	1280.9904	492.297	1125.2311	560.2936	61.5812	36.2113	85.2146	2268.0718	84.4909	d_Bacteria;p_Patescibacteria
p_SAR324	3027.1718	97.3321	324.0849	697.178	355.7314	496.3166	264.4289	0	4116.1499	0	1.8054	25.1636	5.3341	2977.1528	1.9543	d_Bacteria;p_SAR324
p_Myxococcota A	521.0433	1963.5121	1281.9358	1134.1987	455.1076	1602.283	938.2244	13.7194	679.3706	588.157	7.5007	1.9824	0.8158	1129.0397	0.2575	d_Bacteria;p_Myxococcota A
p_Desulfobacterota	268.9727	872.3861	1171.8309	1045.6601	768.634	1093.4797	1252.9868	68.0666	517.6549	235.7569	1.1209	99.4682	34.7335	1813.0413	57.5071	d_Bacteria;p_Desulfobacterota
p_Spirochaetota	784.6399	390.3721	1065.5016	1181.6398	1113.13	1147.4892	761.2734	97.4855	467.545	84.7122	3.9402	14.6858	45.7731	1724.8584	45.3354	d_Bacteria;p_Spirochaetota
p_Fibrobacterota	15.8559	47.3834	1715.5076	1258.3107	346.6271	1261.3139	913.8668	17.8671	522.1295	0	13.2768	0.3852	14.2411	948.9207	5.2181	d_Bacteria;p_Fibrobacterota
p_Gemmatimonadota	168.38	293.6066	1143.5223	701.0867	80.635	768.5649	841.5555	0	232.7799	64.8496	2.1117	32.5551	0	739.4726	25.9136	d_Bacteria;p_Gemmatimonadota
p_Chlamydiota	50.7432	200.4937	926.5054	398.8334	565.2868	616.5746	783.3295	0	547.2152	189.9309	5.7485	20.9943	6.6354	321.4228	2.3288	d_Bacteria;p_Chlamydiota
p_Marinisomatota	103.6171	353.2525	800.5652	848.717	568.6577	463.3807	694.4137	31.2198	306.3223	65.0558	1.9307	18.7725	0	177.2625	0	d_Bacteria;p_Marinisomatota
p_Nitrospinota	9.5807	0	869.8979	696.1439	126.9202	710.925	401.9001	22.4208	346.3026	41.2249	0	0	0	580.1151	0.4799	d_Bacteria;p_Nitrospinota
p_Firmicutes B	27.1967	10.5898	641.9045	975.2664	241.5105	390.1474	227.9457	442.1899	83.4641	51.3954	52.0265	13.8908	96.1326	410.4554	38.5889	d_Bacteria;p_Firmicutes B
p_Synergistota	44.212	86.2642	330.0491	496.591	221.1552	894.231	668.8829	68.6508	109.2361	18.1717	44.6493	3.5951	6.1867	520.3113	9.4974	d_Bacteria;p_Synergistota
p_Desulfobacterota B	19.2357	207.9067	786.7743	713.4761	111.968	411.633	219.6829	0	232.1197	135.1378	0	0	4.1301	466.8276	1.6229	d_Bacteria;p_Desulfobacterota B
p_KSB1	1.3105	0	778.3395	492.9563	75.249	560.6101	285.5561	3.6588	47.1879	0	293.3522	10.144	168.6197	404.6699	1.075	d_Bacteria;p_KSB1
p_Nitrospirota	38.1236	451.43	342.5369	267.6043	183.0234	466.2221	274.0298	76.5369	264.4763	228.198	21.6978	2.5726	0.9588	225.2209	0.235	d_Bacteria;p_Nitrospirota
p_Armatimonadota	101.0525	467.933	229.0822	24.3052	144.7954	546.1627	189.1789	0	296.7352	545.7371	0	0	0	178.6127	1.2983	d_Bacteria;p_Armatimonadota
p_Elusimicrobiota	0	0	373.5836	600.8228	64.7824	501.605	320.8082	3.488	152.6663	0	17.3666	0	0	537.7454	46.9534	d_Bacteria;p_Elusimicrobiota
p_Desulfobacterota I	18.236	115.7662	255.2305	169.5748	179.5013	484.0483	380.9911	110.2373	291.6601	29.7607	5.7334	42.4571	21.7255	298.1502	5.9642	d_Bacteria;p_Desulfobacterota I
p_Deinococcota	1080.3076	9.2866	211.4896	185.4545	234.8954	0	0	80.846	147.2028	143.2125	1	36.4974	44.0417	143.4256	49.4976	d_Bacteria;p_Deinococcota
p_Dependentiae	0	0	258.2226	152.3096	63.0342	472.257	73.22	0	0	0	11.0003	10.3022	16.3196	119.997	558.3098	d_Bacteria;p_Dependentiae
p_UBP6	0	0	373.6967	434.4139	41.7955	129.3396	433.4373	0	140.0231	0	0	0	0	96.5011	0	d_Bacteria;p_UBP6
p_Firmicutes G	29.5136	0	570.0662	123.4986	123.8186	147.9702	179.0618	18.38	100.7381	50.6928	5.6445	160.3886	0	42.7531	0	d_Bacteria;p_Firmicutes G
p_Eremiobacterota	0	0	14.676	457.1231	147.9729	84.6258	213.735	0	66.578	0	3.8772	8.5854	0	389.2076	38.138	d_Bacteria;p_Eremiobacterota
p_Omnitrophota	21.1153	282.2678	272.2644	68.8256	137.0883	9.5108	341.9793	0	0	37.5702	0	0	0	250.5552	0	d_Bacteria;p_Omnitrophota
p_Firmicutes H	5.1026	0	223.2572	194.7669	34.8647	229.6232	133.0266	8.0476	295.861	0	0.5699	0	9.0123	56.5386	0.3682	d_Bacteria;p_Firmicutes H
p_WOR-3	6.2686	0	452.553	249.2766	15.0942	238.32	144.6517	0	5.7649	0	0	0	0	59.7029	0	d_Bacteria;p_WOR-3
p_Riflebacteria	82.956	101.6202	127.8112	244.4361	53.3052	150.488	77.2086	0	53.1458	0	0	0	10.0974	0	2.0625	d_Bacteria;p_Riflebacteria
p_Latescibacterota	6.8288	0	160.2194	154.4818	60.6424	134.0608	205.619	0	10.3748	0	0	2.1924	0	112.8274	0	d_Bacteria;p_Latescibacterota
p_Methylomirabilota	0	0	33.8291	143.9288	39.245	103.3787	120.4296	0	97.8339	58.1675	0	0	0	212.8729	8.245	d_Bacteria;p_Methylomirabilota
p_Fermentibacterota	5.305	0	25.0341	157.6231	7.4598	229.6216	20.1636	0	58.5446	0	0	0	0	264.142	0	d_Bacteria;p_Fermentibacterota
p_Zixibacteria	19.5369	0	156.6789	0	115.8785	93.2588	21.0327	0	102.1439	58.5811	0	0	0	165.0351	0	d_Bacteria;p_Zixibacteria
p_Firmicutes E	18.3487	116.2064	107.7096	75.455	25.8016	79.3437	81.4192	1.9304	63.6998	0	0	0	8.7712	52.2284	78.4776	d_Bacteria;p_Firmicutes E
p_Firestonebacteria	0	0	59.898	164.422	7.6494	241.8011	62.0286	0	25.0138	0	0	0	0	131.6208	0	d_Bacteria;p_Firestonebacteria
p_UBP14	0	0	92.4218	176.7547	0	254.7547	68.4173	0	33.1081	0	0	0	0	65.5724	0	d_Bacteria;p_UBP14
p_Firmicutes D	40.287	42.6252	78.4934	0	7.8902	224.9782	66.6464	0	88.9869	29.5531	0	0	0	104.8548	0	d_Bacteria;p_Firmicutes D
p_Goldbacteria	0	0	29.1823	95.6752	52.1754	247.3919	35.2571	0	34.1228	0	0	0	0	169.8061	0	d_Bacteria;p_Goldbacteria
p_Dormibacterota	3.9526	0	99.4787	22.0385	55.7876	229.5761	68.8034	0	39.9851	0	0	2.9401	0	55.578	54.7908	d_Bacteria;p_Dormibacterota
p_Margulisbacteria	0	0	0	0	22.5659	27.488	60.9948	0	29.5163	0	0	0	0	424.5152	0	d_Bacteria;p_Margulisbacteria
p_Calditrichota	0	0	118.3252	0	35.2592	148.6069	0	0	0	0	0	0	0	261.634	0	d_Bacteria;p_Calditrichota
p_Tectomicrobia	0	0	108.4076	26.675	76.7069	94.2892	104.7834	0	36.9754	0	0	0	0	29.3426	0	d_Bacteria;p_Tectomicrobia
p_Firmicutes F	5.8039	0	0	0	35.122	152.9075	0	163.9633	34.4548	0	31.2205	0.8048	0	0	3.057	d_Bacteria;p_Firmicutes F
p_Abyssubacteria	0	0	0	0	0	248.109	106.0779	0	0	0	0	0	0	0	0	d_Bacteria;p_Abyssubacteria
p_Hydrogenedentota	24.5002	23.3122	91.9031	0	34.4517	23.0846	14.8046	0	81.3774	8.0815	0	0	0	11.8837	0	d_Bacteria;p_Hydrogenedentota
p_Thermotogota	0	0	0	0	0	0	0	0	0	0	269.1838	13.4269	12.6854	0	5.1694	d_Bacteria;p_Thermotogota
p_Krumholzibacteriota	0	0	66.4282	0	0	0	0	0	0	0	0	0	0	225.4772	0	d_Bacteria;p_Krumholzibacteriota
p_UBP7	0	0	0	181.4892	29.6919	0	40.1282	0	0	0	0	0	0	32.211	0	d_Bacteria;p_UBP7
p_UBP15	0	0	19.9547	87.2296	0	122.1749	24.1086	0	11.6665	0	0	0	0	0	0	d_Bacteria;p_UBP15
p_Ratteibacteria	30.451	57.993	57.4787	0	25.6917	0	11.574	0	28.004	20.104	0	0	5.7289	9.2905	0.4681	d_Bacteria;p_Ratteibacteria
p_JABDJQ01	18.236	0	28.6849	0	0	0	34.6561	0	0	160.5273	0	0	0	0	0	d_Bacteria;p_JABDJQ01
p_AABM5-125-24	0	0	0	0	192.05	0	0	0	0	18.7851	0	0	0	26.043	0	d_Bacteria;p_AABM5-125-24
p_Caldisericota	55.3368	140.5163	0	0	0	0	21.0327	0	0	0	0	0	0	0	0	d_Bacteria;p_Caldisericota
p_Cloacimonadota	0	0	70.4448	25.6617	0	66.3547	28.3697	0	0	0	0	0	0	22.7724	1.721	d_Bacteria;p_Cloacimonadota
p_JACPQY01	0	0	0	10.2934	0	17.7441	0	0	0	0	0	0	0	182.6894	0	d_Bacteria;p_JACPQY01
p_4484-113	0	0	0	139.4816	0	0	0	0	66.3287	0	0	0	0	0	0	d_Bacteria;p_4484-113
p_Bdellovibrionota E	0	0	0	31.3481	25.643	0	0	0	100.6236	0	0	0	0	27.8186	0	d_Bacteria;p_Bdellovibrionota E
p_Desulfobacterota D	0	0	0	0	0	163.2763	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Desulfobacterota D
p_CSP1-3	0	0	0	0	0	0	0	0	0	0	0	1.2432	0	149.011	7.4073	d_Bacteria;p_CSP1-3
p_Eisenbacteria	0	0	62.8449	0	22.6793	0	0	0	0	70.9869	0	0	0	0	0.3099	d_Bacteria;p_Eisenbacteria
p_Deferribacterota	0	0	0	0	28.6248	0	0	0	0	0	0	0	0	124.2133	0.5215	d_Bacteria;p_Deferribacterota
p_Wallbacteria	0	0	0	95.6752	52.1754	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Wallbacteria
p_Nitrospinota B	0	0	24.8697	0	0	0	0	0	0	0	0	0	0	48.2372	0	d_Bacteria;p_Nitrospinota B
p_UBA8248	0	0	0	0	0	0	0	0	54.4357	0	0	0	0	0	0	d_Bacteria;p_UBA8248
p_NPL-UPA2	0	0	0	0	0	15.0013	0	0	0	0	0	0	0	15.445	0	d_Bacteria;p_NPL-UPA2
p_Aerophobota	0	0	0	0	29.6919	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Aerophobota
p_Sumerlaeota	0	0	0	0	8.3732	0	11.3163	0	0	0	0	0	0	0	0	d_Bacteria;p_Sumerlaeota
p_Nitrospirota A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.9852	d_Bacteria;p_Nitrospirota A
p_Chrysiogenota	0	0	0	0	0	0	10.7196	0	0	0	0	0	0	0	3.0347	d_Bacteria;p_Chrysiogenota
p_DTU030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0672	d_Bacteria;p_DTU030
