KEGG_L2	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Carbohydrate metabolism	2016.8767	823.5683	440.5193	335.9957	1400.7971	295.139	501.8537	2760.8527	675.9911	3035.1887	3081.7902	2386.0072	2798.3159	750.0919	2462.4138
Lipid metabolism	622.1202	396.0128	452.8573	439.8923	782.8929	417.1656	506.1488	1049.3243	308.8688	909.319	918.2935	1046.3785	990.9946	560.3054	927.6853
Metabolism of cofactors and vitamins	1639.0357	602.8552	346.9852	165.5855	1627.1179	234.7037	432.575	1856.3119	524.0439	1525.9428	2496.6983	2057.949	2030.5864	723.2939	2037.6493
Energy metabolism	692.8861	243.4935	166.9814	97.306	589.8776	118.906	209.8476	748.8984	230.365	714.0578	968.0722	1017.4352	797.4148	287.4513	843.8191
Amino acid metabolism	2232.19	949.4395	580.185	475.0289	1422.8149	419.2043	641.7632	1777.7969	702.4696	2099.8842	2659.8618	2778.3842	2096.7897	855.2065	2987.3831
Nucleotide metabolism	337.9594	139.4161	80.0285	43.3635	370.9399	38.7468	103.7047	526.2136	130.6669	469.3558	526.4705	413.2507	575.1259	165.4995	393.9783
Biosynthesis of other secondary metabolites	464.9729	103.6745	25.7494	1.6027	79.8519	0	46.753	575.6005	114.4271	436.3169	280.401	412.0471	457.085	47.4022	636.8373
Metabolism of terpenoids and polyketides	444.8406	190.0005	52.8357	72.9127	198.4223	24.9469	97.3739	240.848	118.106	410.6425	265.4	749.3144	351.2722	73.0276	762.755
Xenobiotics biodegradation and metabolism	463.2054	259.8446	116.0958	159.3973	357.1927	87.0053	141.3799	532.3255	177.8216	678.508	703.8171	1163.2312	632.9941	118.8795	946.965
Metabolism of other amino acids	525.4816	264.7736	126.9376	134.9723	537.4398	144.2613	170.2514	886.1063	184.4977	724.8023	837.889	888.3974	851.9371	299.1242	894.6705
Glycan biosynthesis and metabolism	667.4049	431.6268	163.5033	87.3857	286.0055	166.3793	253.8945	1204.7613	331.1398	1205.5078	1122.7298	832.6377	1233.1176	305.2536	951.9847
Translation	664.5647	163.5728	90.7208	72.6101	627.1768	64.7297	132.2945	764.9092	245.6213	1230.0094	413.4781	761.065	775.6336	153.23	548.3892
Drug resistance: antimicrobial	205.0946	0	8.4031	0	0	0	15.9631	74.9826	0	0	263.8541	328.1288	552.8342	0	378.0248
Drug resistance: antineoplastic	171.6246	109.0837	91.6656	57.6703	186.6525	53.8333	145.4863	170.0945	63.2771	185.028	139.4573	131.3982	187.838	113.6507	212.6635
Membrane transport	301.99	20.9853	8.2578	0	43.9083	2.9235	53.3542	815.9534	31.4388	602.7536	988.7058	566.45	734.1596	19.4061	452.9457
Signal transduction	366.6063	579.3026	886.536	868.6609	576.0314	814.2173	788.0385	229.1711	445.2637	532.525	310.872	301.3571	170.4888	713.4343	252.6863
Cellular community - prokaryotes	187.7517	28.713	2.6381	0.5727	96.0951	0	27.1631	286.1512	48.5969	152.2339	575.7089	423.2766	323.5693	36.8205	407.6792
Cell motility	115.0119	71.4489	249.402	262.2297	777.0845	242.1134	216.3111	279.6975	89.3559	54.2392	842.5131	617.4029	320.9675	462.7088	261.5387
Folding, sorting and degradation	627.3491	202.9341	307.4908	278.5318	856.7647	260.3215	293.5637	852.672	301.473	1046.8803	798.2906	766.2901	907.3058	459.938	626.7495
Transcription	2.9299	5.1761	14.9012	16.3007	6.1892	11.9408	7.8906	3.2521	13.692	13.7555	0	0	0	12.5722	6.2233
Replication and repair	919.6523	340.393	169.0904	19.8661	997.7932	42.27	182.2005	1587.2688	317.2989	1465.34	1241.2702	1272.171	1591.353	464.4854	1141.1251
Information processing in viruses	15.4982	8.1983	6.3965	8.2414	2.9564	6.6445	2.6565	0	13.1522	20.9658	0	0	0	1.6443	0
Endocrine system	350.748	559.3654	875.2042	942.3304	376.3279	917.0927	775.2617	227.6972	490.6075	627.7377	165.7688	233.4006	177.1062	779.6934	228.724
Signaling molecules and interaction	29.671	160.5365	157.0486	171.9817	78.0134	148.2089	132.6064	4.7508	78.2124	34.0253	2.2311	0.8476	3.0422	169.2533	1.1454
Immune system	64.7426	276.7781	576.8348	684.1773	269.0123	535.8823	662.7831	36.5726	224.6188	70.57	24.8967	30.7949	30.0538	526.2227	24.8511
Cell growth and death	321.168	139.5342	146.8973	175.3326	413.222	168.3339	158.6028	29.8689	98.6736	451.4883	301.172	372.9247	397.9163	126.5685	441.1163
Transport and catabolism	111.8854	138.6553	102.6103	139.1257	111.4382	113.4547	164.5399	70.7805	77.3786	94.7079	65.9996	97.0163	85.9835	132.3142	108.602
Aging	205.7243	72.0922	65.1768	40.2273	246.7374	36.0557	50.0981	0	79.4266	215.3776	144.0313	140.6672	103.1506	112.0813	197.1662
Circulatory system	85.7376	246.0967	818.9869	937.77	328.4976	903.1519	641.4167	0.5897	274.2003	66.6277	1.1957	0	0	778.8854	0.919
Development and regeneration	8.3745	21.091	100.1443	143.9431	38.7562	83.2409	87.7575	20.0613	36.1983	5.9854	14.7784	9.0022	1.1605	107.4285	6.5055
Cellular community - eukaryotes	44.5134	166.4875	576.7147	596.7139	221.7207	550.7487	417.052	3.5021	205.2516	41.0872	2.3539	0.9933	5.8546	517.1227	0.5046
Environmental adaptation	56.7535	50.9962	97.4238	83.9889	50.92	97.9087	87.0706	0.0628	84.4887	18.8991	0	41.2471	0	86.3562	0.0121
Nervous system	86.7445	176.0067	285.7631	269.761	166.8771	246.4283	283.7778	95.7792	163.859	72.0177	56.6022	35.1378	18.2557	266.905	64.0001
Sensory system	52.6408	180.5572	194.0552	166.5558	100.4189	94.7181	140.0171	1.5348	85.3359	28.5928	1.3622	0.9418	2.7384	99.4578	0.9908
Endocrine and metabolic disease	201.0204	311.9888	144.698	150.2673	180.4708	133.574	179.5762	78.695	110.0798	250.8906	101.5214	49.6841	122.8587	155.537	87.7038
Excretory system	120.5396	99.644	206.9004	273.1071	66.8508	295.4544	146.2649	139.9934	95.8508	104.8781	128.1139	58.2622	0	183.2857	90.1738
Digestive system	235.9134	917.0831	571.5949	630.7486	409.8454	597.5086	646.4174	58.8054	291.0081	274.9771	113.3794	176.2111	11.7979	476.7002	35.1045
Neurodegenerative disease	76.7289	130.9704	235.6051	176.1169	219.0551	217.0148	245.3531	21.7346	113.8541	70.3975	4.3935	9.7527	11.8101	175.0821	38.5321
Substance dependence	57.3003	115.8661	92.9288	64.6236	49.3506	61.2732	104.2354	0.5163	57.9045	23.0409	0.9069	11.5399	0.2092	81.9378	11.1205
Infectious disease: bacterial	140.5086	172.6996	525.3616	527.2552	356.9422	442.8086	482.1893	17.6524	205.5336	195.1791	79.7149	104.4472	85.4704	469.3076	69.5798
Infectious disease: parasitic	10.9884	226.5383	108.9487	105.2314	65.1492	79.815	159.0318	0	46.1746	25.6017	0	0.2964	0	77.7925	0
Infectious disease: viral	28.0438	78.7917	313.3219	329.9981	117.1634	276.2118	364.7926	15.289	110.2352	31.2826	7.12	9.7926	4.9104	244.3425	14.8506
Cancer: overview	173.2267	183.1539	244.3868	248.7022	176.3941	204.3787	247.1468	261.8363	116.3312	445.27	164.248	175.6666	17.0597	198.6579	176.5004
Cancer: specific types	52.1508	50.5564	251.9667	282.9851	149.9822	230.0163	289.6926	0	89.527	46.6986	21.4066	15.2452	0	239.7433	31.1072
Immune disease	71.5235	88.1375	572.0653	733.1699	282.3496	677.1823	434.049	0	296.2295	74.003	0.1044	0	0	545.7215	0
Cardiovascular disease	183.8608	383.2422	822.9817	911.3542	410.0825	933.8388	702.2842	1.97	360.2877	191.0654	1.0662	65.2277	2.2293	791.451	46.8712
