KEGG_L3	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
ko00010	290.5031	224.7545	184.3094	164.001	276.2951	125.3192	154.7659	327.3193	162.1536	517.4904	270.726	277.6733	353.398	194.3119	284.4528	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis
ko00020	335.5544	281.7659	87.459	47.5007	380.9029	95.4772	125.9407	87.942	175.943	249.9283	181.9174	245	158.6339	175.1207	282.4898	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle)
ko00030	186.8615	124.9191	86.5516	52.3911	159.8054	76.1669	126.8988	276.3229	131.6609	439.8519	236.4164	253.0679	267.7108	151.4338	213.4901	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway
ko00040	71.7682	38.0229	17.7678	25.0363	89.6525	18.9095	36.5721	104.0468	33.5212	33.9764	203.292	50.3777	126.7246	32.6691	76.4825	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions
ko00051	132.3962	107.6455	68.1347	38.0907	150.4149	33.4697	75.2998	294.1887	77.1242	288.9329	266.3579	138.7519	260.2728	102.8858	127.8688	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism
ko00052	162.1233	169.0357	44.7237	0	93.5055	18.4181	79.859	350.0164	87.5235	344.025	343.7587	145.0884	334.9429	69.124	140.5273	Metabolism; Carbohydrate metabolism; Galactose metabolism
ko00053	65.0995	65.4497	63.0891	81.9286	0	0	50.5919	130.4183	43.5517	31.4519	164.837	65.206	108.4696	52.5159	63.5098	Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism
ko00061	262.3935	101.9637	110.884	114.8017	527.2496	120.999	171.3114	430.736	143.05	326.388	258.7973	486.3361	331.1999	186.8489	324.2904	Metabolism; Lipid metabolism; Fatty acid biosynthesis
ko00062	19.2383	28.483	88.3992	153.4666	17.0326	133.1316	63.4484	0	64.8921	0	0	0	0	142.4928	0	Metabolism; Lipid metabolism; Fatty acid elongation
ko00071	169.0532	187.0485	174.4542	273.8842	46.1202	149.643	108.3961	100.1064	96.3681	159.7052	148.2205	213.7344	130.1872	90.216	226.8515	Metabolism; Lipid metabolism; Fatty acid degradation
ko00100	11.2698	68.3892	50.0423	23.9876	34.0206	14.0319	83.7807	0.7495	22.121	7.5161	0.3166	0	0.4376	15.4479	0.1565	Metabolism; Lipid metabolism; Steroid biosynthesis
ko00120	40.3019	82.9352	91.1502	47.8833	158.3669	85.4903	222.9207	0	20.7117	109.9928	8.4598	0	0	117.0655	0	Metabolism; Lipid metabolism; Primary bile acid biosynthesis
ko00121	32.7214	6.0453	71.5973	2.2052	190.2293	5.4149	71.3705	160.3368	4.455	103.8988	135.9446	197.2867	217.1712	86.1739	91.5148	Metabolism; Lipid metabolism; Secondary bile acid biosynthesis
ko00130	142.6178	77.9587	53.2076	24.131	263.2705	16.956	133.6028	18.7115	76.1902	112.975	217.6922	108.5054	79.5681	174.171	126.3182	Metabolism; Metabolism of cofactors and vitamins; Ubiquinone and other terpenoid-quinone biosynthesis
ko00140	14.1353	83.6747	26.4386	32.5662	25.5682	29.2367	64.871	0	22.2023	26.1014	0.0885	0.3924	0.6981	47.9731	3.8499	Metabolism; Lipid metabolism; Steroid hormone biosynthesis
ko00190	151.1375	100.6541	51.4113	23.6873	164.2815	37.0178	80.8881	82.0801	75.3857	156.3312	80.9009	159.959	116.0545	80.8944	132.903	Metabolism; Energy metabolism; Oxidative phosphorylation
ko00195	0	124.3178	0	0	0	0	0	0	65.6137	0	0	0	0	0	0	Metabolism; Energy metabolism; Photosynthesis
ko00220	207.7877	111.4554	21.7478	44.175	266.3178	15.7053	90.4321	141.3268	108.3733	147.0673	218.5818	198.9701	140.8651	139.6029	192.4609	Metabolism; Amino acid metabolism; Arginine biosynthesis
ko00230	223.1923	154.9948	83.2994	38.8308	243.3709	45.0238	114.9252	240.0886	123.3608	275.0041	235.2988	199.8478	233.6026	133.56	177.1983	Metabolism; Nucleotide metabolism; Purine metabolism
ko00240	249.565	180.2275	108.4231	69.1795	361.0328	51.9313	141.0747	339.3453	152.0771	292.45	336.6353	269.7547	411.116	196.7456	246.0543	Metabolism; Nucleotide metabolism; Pyrimidine metabolism
ko00250	333.1457	258.8395	151.0814	95.6142	467.1022	99.9733	234.2015	311.5125	203.7354	329.0219	343.2132	282.5241	321.3011	275.0086	285.1971	Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism
ko00260	227.1157	180.4185	232.3012	169.8986	193.4277	153.5553	182.6419	134.6143	130.7526	184.011	242.3904	231.2956	188.9215	168.1929	238.1557	Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism
ko00261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221.6419	Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis
ko00270	178.2442	97.7416	117.7359	105.0262	145.0325	87.5752	115.9599	190.2234	95.2042	185.7689	242.9397	211.5045	187.8999	101.1749	201.4025	Metabolism; Amino acid metabolism; Cysteine and methionine metabolism
ko00280	221.8173	226.8377	198.4693	251.7205	74.471	198.802	218.1932	91.8342	108.2864	185.6416	112.1275	335.9949	132.6454	157.4074	283.31	Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation
ko00281	110.6145	243.007	8.8797	158.5954	45.7591	47.4709	154.7838	13.7606	59.1487	84.3029	0	235.5583	81.1494	11.922	195.7971	Metabolism; Metabolism of terpenoids and polyketides; Geraniol degradation
ko00290	609.2988	392.797	102.0664	0	278.1734	0	163.0054	230.0364	212.801	495.3409	603.5664	480.9102	378.2068	165.7728	533.1906	Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis
ko00300	254.397	133.915	25.1563	2.658	381.1064	27.2492	72.2232	195.7372	108.1691	183.9739	246.6715	248.2511	202.7687	189.1241	244.9668	Metabolism; Amino acid metabolism; Lysine biosynthesis
ko00310	125.8823	142.4056	79.6974	127.8264	38.4988	74.6226	73.9347	47.8157	74.2074	107.6468	92.3179	126.1738	79.4266	84.5968	144.1509	Metabolism; Amino acid metabolism; Lysine degradation
ko00311	43.2066	14.4106	15.5194	0	0	0	0	212.7051	0.796	22.5519	63.609	40.3224	156.4094	9.3883	46.7523	Metabolism; Biosynthesis of other secondary metabolites; Penicillin and cephalosporin biosynthesis
ko00330	85.5991	79.6095	76.8293	84.9101	113.6648	86.9927	79.1456	115.7668	37.9465	52.5702	152.0973	121.3479	89.9581	82.3655	160.0322	Metabolism; Amino acid metabolism; Arginine and proline metabolism
ko00340	267.299	213.0055	112.8481	83.4138	34.1214	98.1506	107.8431	155.5143	144.0355	199.5098	130.0261	244.3243	162.4962	77.3772	260.0261	Metabolism; Amino acid metabolism; Histidine metabolism
ko00350	104.5439	65.9765	76.6617	73.8345	50.3177	62.8223	51.596	44.8048	53.5303	66.0567	81.4797	103.9641	68.6378	49.0541	106.915	Metabolism; Amino acid metabolism; Tyrosine metabolism
ko00360	134.8597	80.7942	39.9392	0	48.285	25.2775	41.2599	57.4826	43.4443	91.8951	132.7692	171.8808	106.8573	31.2274	167.0944	Metabolism; Amino acid metabolism; Phenylalanine metabolism
ko00361	15.1815	1.2889	7.1241	0	2.9332	0	1.8174	7.8915	1.9319	4.0727	37.6901	46.0434	22.1649	3.3767	32.0892	Metabolism; Xenobiotics biodegradation and metabolism; Chlorocyclohexane and chlorobenzene degradation
ko00362	89.0023	50.2703	0	0	4.064	0	15.554	29.8595	33.3936	116.7918	56.8399	117.8526	58.5217	5.8604	91.565	Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation
ko00363	0	0	0	0	0	0	0	0	0	0	0	82.9555	0	0	0.1368	Metabolism; Xenobiotics biodegradation and metabolism; Bisphenol degradation
ko00364	0	0	0	0	0	0	0	0	0	0	0	67.76	0	0	25.5688	Metabolism; Xenobiotics biodegradation and metabolism; Fluorobenzoate degradation
ko00365	0	0	0	0	0	0	0	0	0	0	0	2.2551	0	0	15.3233	Metabolism; Xenobiotics biodegradation and metabolism; Furfural degradation
ko00380	153.0112	155.6098	98.5159	114.605	63.7157	94.3639	89.236	85.1151	75.8671	117.7329	62.2928	177.1943	67.6826	82.2078	179.2959	Metabolism; Amino acid metabolism; Tryptophan metabolism
ko00400	219.5153	143.4955	56.8857	29.526	164.0785	23.875	64.5488	155.8162	84.4094	192.5363	229.0814	222.9159	222.8431	103.7173	213.1601	Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis
ko00410	151.418	314.814	136.2388	195.9689	120.7136	166.7943	154.7003	130.0588	103.6076	140.0854	164.795	157.772	132.3356	146.7641	192.9733	Metabolism; Metabolism of other amino acids; beta-Alanine metabolism
ko00430	113.7212	118.5839	82.3471	80.1107	133.2785	90.5802	88.0907	209.0243	67.5192	160.6983	0	142.2416	168.673	153.5806	117.9443	Metabolism; Metabolism of other amino acids; Taurine and hypotaurine metabolism
ko00440	16.7716	11.2759	5.8438	0	67.6976	2.1552	2.7837	22.3752	9.2051	23.1116	71.4389	40.2088	33.7645	5.1287	73.0544	Metabolism; Metabolism of other amino acids; Phosphonate and phosphinate metabolism
ko00450	209.3597	119.8729	43.0958	11.1532	318.8507	26.9212	53.9199	324.8452	101.4435	242.2435	270.7084	244.1072	276.2759	136.5569	199.4223	Metabolism; Metabolism of other amino acids; Selenocompound metabolism
ko00470	143.7238	0	0	0	188.5256	25.1894	55.2024	197.6675	58.5527	130.5406	198.1834	171.0662	225.7905	104.7647	200.9824	Metabolism; Metabolism of other amino acids; D-Amino acid metabolism
ko00480	100.0798	72.0941	36.576	48.958	46.6302	49.3415	65.5763	91.7543	48.5818	179.611	205.1195	254.1455	118.1856	50.2002	176.7715	Metabolism; Metabolism of other amino acids; Glutathione metabolism
ko00500	166.2902	165.6167	59.5359	5.5403	79.4037	20.689	81.9329	375.5708	72.8549	265.7002	224.0708	106.4156	293.4699	60.0668	118.6215	Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism
ko00510	3.7552	2.6726	0.6598	0	1.623	2.6262	0	0.5804	14.8588	11.8927	6.5613	5.1794	3.2675	0	10.6717	Metabolism; Glycan biosynthesis and metabolism; N-Glycan biosynthesis
ko00511	76.2926	247.7508	54.0076	10.7091	37.6881	71.7333	72.9771	321.6507	31.4839	51.01	136.4741	24.4408	189.3482	95.7453	81.8352	Metabolism; Glycan biosynthesis and metabolism; Other glycan degradation
ko00512	0	0	44.4657	0	0	69.9964	11.0712	0	0	0	0	0	0	14.37	0	Metabolism; Glycan biosynthesis and metabolism; Mucin type O-glycan biosynthesis
ko00513	5.5915	3.9174	2.7941	0	2.7414	22.6648	21.1972	0	8.7289	0	0	0	0	17.0473	0	Metabolism; Glycan biosynthesis and metabolism; Various types of N-glycan biosynthesis
ko00514	0	3.7069	40.1827	7.6073	21.6315	50.6996	37.6767	0	34.2396	0	0	0	0	24.3082	0	Metabolism; Glycan biosynthesis and metabolism; Other types of O-glycan biosynthesis
ko00515	0	0	0	0	3.3935	5.4912	0	0	11.4847	0	0	0	0	0	0	Metabolism; Glycan biosynthesis and metabolism; Mannose type O-glycan biosynthesis
ko00520	189.3167	139.5925	58.7759	6.3135	273.7471	12.1341	90.7572	339.2634	88.2052	294.2985	226.899	164.9645	290.3048	138.2731	149.8147	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism
ko00521	354.2021	193.1995	46.1677	3.9919	130.1094	0	115.4119	302.7042	190.2601	474.3102	188.6956	281.4845	291.6026	85.2175	281.4315	Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis
ko00523	40.0434	31.9406	8.8547	0	18.8371	5.3841	19.1585	70.3219	31.3114	52.7768	48.0636	49.1301	56.5557	7.515	37.1692	Metabolism; Metabolism of terpenoids and polyketides; Polyketide sugar unit biosynthesis
ko00525	55.1581	0	0	0	0	0	0	72.9704	0	0	51.954	49.7399	0	0	39.0643	Metabolism; Biosynthesis of other secondary metabolites; Acarbose and validamycin biosynthesis
ko00531	48.6104	47.7518	44.1444	113.6114	25.6044	76.595	107.956	262.6021	75.9011	43.3355	0	53.3188	0	40.3852	106.4149	Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan degradation
ko00532	0	0	28.0053	18.5889	4.263	25.2934	31.9547	0	12.0229	0	0	0	0	15.1059	0	Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
ko00533	0	3.0723	1.517	0	8.0996	8.629	11.3309	0	18.8278	1.6066	0	0	0	2.4512	0	Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan biosynthesis - keratan sulfate
ko00534	6.406	5.8601	11.935	20.4255	1.8254	22.0169	27.8819	0	11.6164	0	0.0941	0.4068	0.1425	12.1129	6.1189	Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan biosynthesis - heparan sulfate / heparin
ko00540	0	0	0	0	0	0	0	63.1278	0	0	323.8365	178.9095	100.3073	0	96.2608	Metabolism; Glycan biosynthesis and metabolism; Lipopolysaccharide biosynthesis
ko00541	136.6299	0	38.2798	0	0	0	48.417	0	73.2546	0	154.0843	123.9338	172.3879	139.8827	97.5694	Metabolism; Glycan biosynthesis and metabolism; O-Antigen nucleotide sugar biosynthesis
ko00543	27.02	13.1034	0	0	0	0	8.3683	22.9458	14.0372	44.2155	113.7537	27.2391	56.9425	1.4942	24.4865	Metabolism; Glycan biosynthesis and metabolism; Exopolysaccharide biosynthesis
ko00550	229.1866	137.1311	69.5352	0	312.5947	0	97.5978	340.3872	85.2447	322.7288	319.8672	327.0281	426.9964	189.368	282.4221	Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis
ko00552	29.2933	45.6122	47.6409	0	20.1911	6.0119	47.3074	139.4941	27.0754	323.256	92.9055	113.853	229.2808	44.8462	64.4672	Metabolism; Glycan biosynthesis and metabolism; Teichoic acid biosynthesis
ko00561	87.6116	131.6883	70.538	68.9465	80.2804	78.3052	84.4292	154.1327	65.5689	126.6362	136.7153	88.211	143.6833	79.6473	99.876	Metabolism; Lipid metabolism; Glycerolipid metabolism
ko00562	76.2351	20.8705	12.8673	13.8303	35.3493	22.3012	47.2091	54.3519	32.623	119.3719	36.8514	57.5917	48.1641	31.9226	77.6202	Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism
ko00564	113.7338	89.6493	45.3861	29.3788	121.1222	38.6755	65.3746	152.452	58.6157	166.1876	207.0891	142.9667	160.7707	87.1207	118.0391	Metabolism; Lipid metabolism; Glycerophospholipid metabolism
ko00565	16.6178	43.9552	89.8248	66.0782	11.2425	115.7278	80.8408	58.9137	30.3562	32.256	0	18.9726	46.8569	43.6246	21.1611	Metabolism; Lipid metabolism; Ether lipid metabolism
ko00571	136.6877	203.6421	0	0	7.1689	0	0	20.3272	110.3842	289.7648	4.4076	20.2856	50.4	0	87.4086	Metabolism; Glycan biosynthesis and metabolism; Lipoarabinomannan (LAM) biosynthesis
ko00572	189.502	293.5463	0	0	11.8319	0	22.3796	34.8007	127.4823	363.6974	54.0499	44.1371	59.4042	0	86.6723	Metabolism; Glycan biosynthesis and metabolism; Arabinogalactan biosynthesis - Mycobacterium
ko00590	16.1828	39.1482	163.7156	186.2257	35.5464	131.5485	116.0438	1.8553	26.5537	10.8567	25.9238	23.3544	11.453	107.2065	17.2279	Metabolism; Lipid metabolism; Arachidonic acid metabolism
ko00600	28.963	51.8212	37.9469	23.4529	21.3503	46.8351	36.199	96.1686	43.7337	29.8341	76.0376	17.8111	68.4513	32.565	25.708	Metabolism; Lipid metabolism; Sphingolipid metabolism
ko00601	0	0	0	0	2.6663	4.3145	0	0	9.0237	0	0	0	0	0	0	Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - lacto and neolacto series
ko00603	23.8611	15.5176	6.9261	23.5317	3.976	50.255	69.6596	120.6927	22.4939	3.4569	0	27.4464	66.305	10.1116	43.9606	Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - globo and isoglobo series
ko00604	20.7685	14.5503	1.6075	23.1876	0.7138	0	10.9743	0	9.8622	2.5025	13.6493	0	27.5478	1.9992	34.433	Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - ganglio series
ko00620	217.6073	124.2246	111.7222	109.9206	254.633	102.3517	100.0643	205.039	106.4105	289.6679	224.6196	247.1155	219.8964	160.9133	243.9797	Metabolism; Carbohydrate metabolism; Pyruvate metabolism
ko00621	0	2.4733	0	0	0	0	0	0	2.062	106.376	63.5632	0	0	0	14.5022	Metabolism; Xenobiotics biodegradation and metabolism; Dioxin degradation
ko00622	0	0	0	0	0	0	0	0	0	0	0	66.5144	0	0	32.9264	Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation
ko00623	0	0	0	0	0	0	0	0	0	0	0	28.7048	0	0	15.3502	Metabolism; Xenobiotics biodegradation and metabolism; Toluene degradation
ko00624	17.386	0	0	0	0	0	0	0.8065	0	0	0	22.2996	1.0423	0	10.047	Metabolism; Xenobiotics biodegradation and metabolism; Polycyclic aromatic hydrocarbon degradation
ko00627	33.961	42.6585	0	11.7135	14.986	0	10.7432	27.3465	18.5985	29.7527	34.7002	39.0251	31.706	0	55.134	Metabolism; Xenobiotics biodegradation and metabolism; Aminobenzoate degradation
ko00630	259.0345	111.1502	133.3924	123.7978	165.4978	121.7523	81.3624	116.1879	104.2072	188.1466	258.3544	311.5291	179.3323	114.2561	243.4456	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism
ko00633	33.662	0	0	0	231.1732	0	15.1423	91.3587	3.8515	14.6335	195.9483	43.7279	74.6705	0	14.5474	Metabolism; Xenobiotics biodegradation and metabolism; Nitrotoluene degradation
ko00640	190.5267	135.6391	61.7346	91.5002	189.7432	62.0988	86.8074	190.4722	84.1402	199.798	242.2139	212.0439	192.3637	120.4974	208.729	Metabolism; Carbohydrate metabolism; Propanoate metabolism
ko00642	0	0	0	0	0	0	0	0	0	0	0	22.0384	0	0	21.5817	Metabolism; Xenobiotics biodegradation and metabolism; Ethylbenzene degradation
ko00643	0	0	0	0	0	0	0	0	0	16.7938	0	85.026	0	0	101.9972	Metabolism; Xenobiotics biodegradation and metabolism; Styrene degradation
ko00650	179.1298	137.0454	55.943	71.4241	115.4843	28.1947	68.3588	143.3799	105.4942	158.2346	177.5767	204.0295	152.1131	85.7367	182.3909	Metabolism; Carbohydrate metabolism; Butanoate metabolism
ko00660	298.8778	134.5158	9.3351	5.6273	18.0026	1.2374	32.4285	45.5608	119.5347	248.6879	290.0287	232.5144	151.1269	7.3136	231.959	Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism
ko00670	309.3664	172.8865	155.866	75.8889	304.4943	112.9817	78.5678	222.4607	159.9459	241.0289	227.4075	247.3553	245.7373	156.8974	256.8312	Metabolism; Metabolism of cofactors and vitamins; One carbon pool by folate
ko00680	96.786	77.7944	87.5856	90.4278	139.1764	74.2174	70.1636	105.6334	60.808	130.4925	111.8187	115.2636	101.6082	91.9962	88.0004	Metabolism; Energy metabolism; Methane metabolism
ko00710	295.4903	179.5493	194.5684	89.157	460.0308	169.9109	216.192	266.7975	204.2086	421.3326	272.9114	360.1677	290.3295	302.834	283.8463	Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms
ko00720	186.8959	0	0	0	0	0	66.1691	148.8963	0	0	162.5202	210.9443	147.8394	0	174.6808	Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes
ko00730	230.1735	183.8967	48.6243	11.3458	223.1016	73.2012	121.6487	433.6943	113.9738	273.6462	404.5276	241.6116	403.5319	119.5006	200.1408	Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism
ko00740	93.408	50.4976	44.5465	28.3368	119.4246	19.0385	61.1151	173.7651	48.1061	74.0141	207.2697	101.757	172.5131	71.062	135.823	Metabolism; Metabolism of cofactors and vitamins; Riboflavin metabolism
ko00750	167.2717	94.193	85.041	26.5143	226.3631	67.5551	114.8957	75.44	100.5779	103.6606	249.8203	190.8182	133.8644	143.9595	186.2806	Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism
ko00760	157.5184	108.8251	75.3313	33.9468	123.8716	57.6577	66.3001	94.7954	71.8788	142.9454	138.5071	143.1458	155.3608	83.4013	155.0323	Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism
ko00770	339.9862	319.0067	58.4505	12.7814	358.3792	33.9062	115.3476	209.0906	124.246	242.5619	388.7298	309.1176	287.0861	188.2163	309.1128	Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis
ko00780	308.607	154.0046	51.0136	5.6368	560.8525	5.777	143.6854	456.7677	155.9723	243.2144	374.116	511.0677	381.0536	177.0748	340.778	Metabolism; Metabolism of cofactors and vitamins; Biotin metabolism
ko00785	209.3124	69.8676	0	3.743	12.9318	1.6881	30.9427	30.1064	60.1981	146.8312	75.4365	128.8013	77.95	3.9922	159.0434	Metabolism; Metabolism of cofactors and vitamins; Lipoic acid metabolism
ko00790	180.8272	106.8065	39.6039	15.3279	276.2999	41.002	58.1724	160.9239	90.3374	153.5295	231.0898	186.0691	174.0338	152.857	151.0346	Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis
ko00791	0	0	0	0	0	0	0	0	0	0	1.5823	2.7974	0	0	29.5519	Metabolism; Xenobiotics biodegradation and metabolism; Atrazine degradation
ko00830	38.3003	45.7637	171.853	136.4994	35.6805	123.5901	90.7611	7.3941	50.668	19.748	10.479	19.2519	8.1974	84.9413	40.7008	Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism
ko00860	115.3897	65.8424	47.7271	38.2905	146.5313	33.9397	52.7915	160.9059	52.558	90.7192	187.2263	151.0753	157.3995	87.4838	127.9594	Metabolism; Metabolism of cofactors and vitamins; Porphyrin metabolism
ko00900	215.1408	143.9648	67.71	23.0167	241.2354	9.5689	66.1011	173.0556	116.9253	279.1939	180.6669	228.7856	224.7122	125.6073	200.3253	Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis
ko00903	176.3718	0	0	0	0	0	0	0	0	0	0	276.5732	0	0	342.5562	Metabolism; Metabolism of terpenoids and polyketides; Limonene and pinene degradation
ko00906	6.7864	4.4844	0	0	0.6981	0	0.3285	2.3973	2.6248	16.1537	0.2302	24.4598	2.8606	0.7049	13.7403	Metabolism; Metabolism of terpenoids and polyketides; Carotenoid biosynthesis
ko00909	0.2667	0	0	0	0	0	0	0	0	0	0	0.0376	0	0	1.0902	Metabolism; Metabolism of terpenoids and polyketides; Sesquiterpenoid and triterpenoid biosynthesis
ko00910	132.2295	53.2239	49.3874	25.4034	159.2992	7.8415	55.3899	155.0256	40.6618	75.7096	211.2184	163.6225	123.5044	76.7206	106.715	Metabolism; Energy metabolism; Nitrogen metabolism
ko00920	106.7099	49.9339	17.081	13.6957	38.3495	8.5481	29.2155	66.2077	38.9178	79.4343	212.3009	146.2182	114.5692	21.253	120.3729	Metabolism; Energy metabolism; Sulfur metabolism
ko00930	71.2253	153.2511	0	90.1627	0	0	0	5.4744	47.6615	60.7735	3.38	115.3217	19.5048	0	108.4367	Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation
ko00940	0	0	0	0	0	0	0	4.5889	0	0	0	0	0	0	0	Metabolism; Biosynthesis of other secondary metabolites; Phenylpropanoid biosynthesis
ko00960	76.2095	41.6728	0	0	0	0	0	38.6173	19.8873	30.467	0	77.3563	50.1126	0	70.9208	Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis
ko00965	108.5612	0	0	0	0	0	0	1.9049	30.2619	0	0.3129	19.332	14.0815	0	10.1069	Metabolism; Biosynthesis of other secondary metabolites; Betalain biosynthesis
ko00970	291.332	0	0	0	595.872	0	0	468.5634	132.4088	559.5484	300.551	376.7616	480.5278	0	295.7965	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis
ko00980	59.3451	68.0486	108.3412	95.0509	34.1377	118.3367	69.3123	0	33.9932	0	0	128.553	0	36.9325	113.6409	Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450
ko00981	0	0	41.1329	0	13.4176	0	0	0	0	0	0	0	0	0	0	Metabolism; Metabolism of terpenoids and polyketides; Insect hormone biosynthesis
ko00983	317.9085	287.6975	162.663	200.1017	293.1452	99.3747	236.4333	421.3199	221.5754	432.1794	370.3016	339.2252	496.4418	189.6985	332.8055	Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes
ko00984	10.2867	19.1017	0	0	1.5651	0	0	2.1071	11.7697	38.947	0.5898	111.7524	5.5371	1.3928	2.1243	Metabolism; Xenobiotics biodegradation and metabolism; Steroid degradation
ko00997	13.0938	0	0	0	0	0	0	0.3246	0	0.1809	0.0435	0	0.1881	0	0.0719	Metabolism; Biosynthesis of other secondary metabolites; Biosynthesis of various other secondary metabolites
ko00998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.1675	Metabolism; Biosynthesis of other secondary metabolites; Biosynthesis of various antibiotics
ko01040	58.0357	37.4002	64.5226	72.8129	7.5042	94.8243	80.4648	0	52.4485	0	0	0	0	81.8809	67.9412	Metabolism; Lipid metabolism; Biosynthesis of unsaturated fatty acids
ko01053	73.0452	33.4541	0	0	3.3586	0	0	5.6715	38.9501	64.042	59.358	36.9483	28.4997	0	28.7527	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of siderophore group nonribosomal peptides
ko01501	34.5456	0	0	0	0	0	0	0	0	0	57.512	51.6769	73.9414	0	72.0078	Human Diseases; Drug resistance: antimicrobial; beta-Lactam resistance
ko01502	215.3784	0	0	0	0	0	0	0	0	0	0	224.1045	388.3863	0	279.984	Human Diseases; Drug resistance: antimicrobial; Vancomycin resistance
ko01503	36.9742	0	20.1311	0	0	0	39.4056	82.5662	0	0	229.1272	97.0918	157.4019	0	54.1218	Human Diseases; Drug resistance: antimicrobial; Cationic antimicrobial peptide (CAMP) resistance
